,Ego,Alter,Program,Budget and Administration,Landscape,Permitting,Science,Other,Other Area,Strength
2,Laura Brandt,John Wrublik,Ecological Services,0,0,0,1,0,NA,Collaboration
3,Laura Brandt,Ashleigh Blackford,Ecological Services,0,0,0,1,0,NA,Coordination
4,Laura Brandt,Miles Myer,Ecological Services,0,1,0,1,0,NA,Coordination
5,Laura Brandt,Rebekah Gibble,National Wildlife Refuge System,0,0,0,1,0,NA,Collaboration
6,Laura Brandt,Mark Danahar,National Wildlife Refuge System,0,0,0,1,0,NA,Coordination
7,Laura Brandt,Jeremy Dixon,National Wildlife Refuge System,0,0,0,1,0,NA,Coordination
9,Jeffrey Gleason,Barry Wilson,NA,0,1,0,1,0,NA,Coordination
10,Jeffrey Gleason,Keith McKnight,NA,0,1,0,1,0,NA,Coordination
11,Jeffrey Gleason,Catherine Rideout,NA,0,1,0,1,0,NA,Coordination
12,Jeffrey Gleason,Rob Holbrook,NA,0,1,0,1,0,NA,Coordination
13,Jeffrey Gleason,John Tirpak,Ecological Services,0,1,0,1,0,NA,Coordination
15,Jeffrey Gleason,Jon Hemming,Gulf Restoration,1,0,0,1,1,Gulf Restoration- project planning and restoration science,Coordination
16,Jeffrey Gleason,Pete Tuttle,Gulf Restoration,0,0,0,1,1,Gulf Restoration- project planning and restoration science,Coordination
17,Jeffrey Gleason,Bill Vermillion,NA,0,1,0,1,0,NA,Coordination
20,Jeffrey Gleason,Dianne Ingram,Gulf Restoration,0,0,0,1,1,Gulf Restoration- project planning and restoration science,Coordination
21,Jeffrey Gleason,Kate Healy,Gulf Restoration,0,0,0,1,1,Gulf Restoration- project planning and restoration science,Coordination
22,Jeffrey Gleason,Mick Erickson,National Wildlife Refuge System,0,0,0,0,1,NWRs,Communication
23,Rob Holbrook,Eric Spadgenske,Ecological Services,0,1,0,1,0,NA,Collaboration
24,Rob Holbrook,Barry Wilson,Other/Don't Know,1,1,0,1,0,NA,Collaboration
25,Rob Holbrook,Jeff Powell,Ecological Services,1,1,0,0,0,NA,Coordination
26,Rob Holbrook,Jackie Sablan,National Wildlife Refuge System,0,1,0,1,0,NA,Collaboration
28,Rob Holbrook,Josh Rowell,Ecological Services,1,1,0,0,0,NA,Communication
29,Rob Holbrook,John Earle,National Wildlife Refuge System,1,1,0,0,0,NA,Coordination
30,Rob Holbrook,Drew Rollman,Ecological Services,0,0,0,0,1,IT support - Spatial Analysis,Coordination
31,Rob Holbrook,David Young,National Wildlife Refuge System,0,0,0,0,1,Junior Duck Stamp Program,Coordination
32,Rob Holbrook,Craig Watson,Other/Don't Know,0,1,0,1,0,NA,Collaboration
33,Rob Holbrook,Nicole Vidal,External Affairs,0,0,0,0,1,Outreach/communication,Coordination
34,John Stanton,Craig Watson,Other/Don't Know,1,1,0,1,0,NA,Collaboration
35,John Stanton,Pete Benjamin,Ecological Services,0,1,0,0,0,NA,Collaboration
36,John Stanton,Kendall Smith,National Wildlife Refuge System,0,1,0,0,1,Refuge Technical Assistance,Coordination
37,John Stanton,John Ann Shearer,Ecological Services,0,1,0,0,1,Private Lands Habitat Conservation,Collaboration
38,John Stanton,Mark Caldwell,Ecological Services,0,1,1,0,0,NA,Coordination
39,John Stanton,Adam Smith,National Wildlife Refuge System,0,0,0,1,0,NA,Coordination
40,John Stanton,Kathy Matthews,Ecological Services,0,1,0,0,1,Eagle Permitting,Coordination
41,John Stanton,Chuck Hunter,National Wildlife Refuge System,0,1,1,0,1,Refuge technical Assistance,Collaboration
42,John Stanton,Wayne Harris,National Wildlife Refuge System,0,1,0,0,0,NA,Coordination
43,John Stanton,Mike Legare,National Wildlife Refuge System,0,1,0,0,1,Refuge Technical Assistance,Collaboration
44,John Stanton,Rebekah Martin,National Wildlife Refuge System,0,1,0,1,1,Refuge Technical Assistance,Collaboration
45,John Stanton,Sonia Mumford,Fisheries and Aquatic Conservation,0,0,1,0,0,NA,Communication
46,John Stanton,Heath Hagy,National Wildlife Refuge System,0,1,0,1,1,Regional Waterfowl Management,Collaboration
47,John Stanton,Mark Purcell,National Wildlife Refuge System,0,1,0,0,1,Refuge Technical Assistance,Coordination
48,John Stanton,Laurel Barnhill,Regional Director's Office,0,1,1,0,1,Migratory Bird Conservation,Coordination
49,Brent Murry,Allan Brown,Fisheries and Aquatic Conservation,0,1,0,1,0,NA,Collaboration
50,Brent Murry,Walter (Tripp) Boltin,Fisheries and Aquatic Conservation,0,1,0,1,0,NA,Collaboration
51,Brent Murry,Angie Rodgers,Fisheries and Aquatic Conservation,0,1,0,1,0,NA,Collaboration
52,Brent Murry,John Galvez,Fisheries and Aquatic Conservation,0,1,0,1,0,NA,Collaboration
53,Brent Murry,Glenn Constant,Fisheries and Aquatic Conservation,0,1,0,1,0,NA,Collaboration
54,Brent Murry,Adam Kaeser,Fisheries and Aquatic Conservation,0,1,0,1,0,NA,Collaboration
55,Brent Murry,Chris Metcalf,Fisheries and Aquatic Conservation,0,1,0,1,0,NA,Collaboration
56,Brent Murry,Jeff Powell,Ecological Services,0,1,0,0,0,NA,Communication
57,Brent Murry,Leo Miranda,Regional Director's Office,0,1,0,0,0,NA,Coordination
58,Brent Murry,Susan Silander,National Wildlife Refuge System,0,1,0,0,0,NA,Communication
59,Brent Murry,Edwin Muniz,Ecological Services,0,1,0,1,0,NA,Coordination
60,Brent Murry,Jose Cruz-Burgos,Ecological Services,0,1,0,0,0,NA,Collaboration
61,Brent Murry,Ivan Llerandi-roman,Ecological Services,0,1,0,1,0,NA,Coordination
62,Brent Murry,Jason Duke,Information Resources and Technology Management (IRTM),0,0,0,0,1,GIS training and information mgt,Coordination
63,Brent Murry,Karen Torres,Information Resources and Technology Management (IRTM),0,0,0,0,1,IT support,Coordination
64,Keith McKnight,Heath Hagy,National Wildlife Refuge System,0,1,0,1,0,NA,Collaboration
65,Keith McKnight,Keith Weaver,National Wildlife Refuge System,0,1,0,0,0,NA,Coordination
66,Keith McKnight,David Viker,National Wildlife Refuge System,0,1,0,0,0,NA,Communication
67,Keith McKnight,Bo Sloan,National Wildlife Refuge System,0,1,0,0,0,NA,Communication
68,Keith McKnight,Gypsy Gooding Hanks,National Wildlife Refuge System,0,1,0,0,0,NA,Coordination
69,Keith McKnight,Andy Dolan,Ecological Services,0,1,0,0,0,NA,Communication
70,Keith McKnight,Glenn Constant,Fisheries and Aquatic Conservation,0,1,0,0,0,NA,Communication
71,Keith McKnight,Mike Oetker,Regional Director's Office,1,1,0,0,0,NA,Coordination
72,Linda McHan,Denise Davis,Ecological Services,1,0,0,0,1,Budget and Administration,Communication
73,Linda McHan,Charla Yelvertion,National Wildlife Refuge System,1,0,0,0,0,NA,Communication
74,Linda McHan,Rose Mickens,National Wildlife Refuge System,1,0,0,0,0,NA,Communication
75,Linda McHan,Alex Ramsey,Information Resources and Technology Management (IRTM),0,0,0,0,1,IT,Communication
76,Linda McHan,Dale Yocum,Information Resources and Technology Management (IRTM),0,0,0,0,1,IT,Communication
77,Dean Demarest,Chuck Hunter,National Wildlife Refuge System,0,1,0,1,0,NA,Collaboration
